variable,name,value,year,month,Model
CST,cst_90_180,0.00738459728829786,1997,6,GLORYS
CST,cst_0_180,0.0149973772246739,1997,6,GLORYS
CST,cst_0_90,0.0223454149536773,1997,6,GLORYS
CST,cst_30_130,0.0175764974712418,1997,6,GLORYS
CST,cst_180_549,-0.0101987318004315,1997,6,GLORYS
CST,cst_90_180,-0.0229302946487381,1997,7,GLORYS
CST,cst_0_180,-0.011406790125441,1997,7,GLORYS
CST,cst_0_90,4.5472098254095e-05,1997,7,GLORYS
CST,cst_30_130,-0.00840436144548263,1997,7,GLORYS
CST,cst_180_549,-0.044443308256063,1997,7,GLORYS
CST,cst_90_180,-0.0155287464610857,1997,8,GLORYS
CST,cst_0_180,-0.00706425230084743,1997,8,GLORYS
CST,cst_0_90,0.00102909815112213,1997,8,GLORYS
CST,cst_30_130,-0.00446424951935152,1997,8,GLORYS
CST,cst_180_549,-0.0304822983546608,1997,8,GLORYS
CST,cst_90_180,-0.0211925518405232,1997,9,GLORYS
CST,cst_0_180,-0.0154094795595491,1997,9,GLORYS
CST,cst_0_90,-0.00960065736098921,1997,9,GLORYS
CST,cst_30_130,-0.0131226872068589,1997,9,GLORYS
CST,cst_180_549,-0.0265113753849964,1997,9,GLORYS
CST,cst_90_180,-0.021746763562101,1997,10,GLORYS
CST,cst_0_180,-0.0145195988783824,1997,10,GLORYS
CST,cst_0_90,-0.00754768142047804,1997,10,GLORYS
CST,cst_30_130,-0.0113233293738676,1997,10,GLORYS
CST,cst_180_549,-0.035350875259188,1997,10,GLORYS
CST,cst_90_180,-0.0217921037725696,1997,11,GLORYS
CST,cst_0_180,-0.0184206919655173,1997,11,GLORYS
CST,cst_0_90,-0.0153429178894572,1997,11,GLORYS
CST,cst_30_130,-0.0170978685051505,1997,11,GLORYS
CST,cst_180_549,-0.0239919817889236,1997,11,GLORYS
CST,cst_90_180,-0.0271526534281895,1997,12,GLORYS
CST,cst_0_180,-0.0207635037267204,1997,12,GLORYS
CST,cst_0_90,-0.0144707740351789,1997,12,GLORYS
CST,cst_30_130,-0.017251249433623,1997,12,GLORYS
CST,cst_180_549,-0.0313769573871021,1997,12,GLORYS
CST,cst_90_180,-0.00250260046201504,1998,1,GLORYS
CST,cst_0_180,-0.00203623186942149,1998,1,GLORYS
